uid	iids
1	1,232,1040
6	1123,1468,763
9	314,314,865
11	627
12	308,308
13	1
14	1215,1300
15	624
16	2
17	20
18	2
20	639
21	177,1161
29	1513
31	651,533
33	1035,807
34	602
35	1008
39	3,932
40	53,54,340,833,1217
41	940,1104,958,1300,1351,1352,1079,1422,1361,1056,1549
44	3,278,278,900,543
53	361,361
55	221
57	4,190
59	1045
60	1249,5,653
62	655
63	32,398,398
65	503,503,914,4,190
70	4,190,5,8,524,883
71	340,340,791,337,337,987,653,965,5,524
72	5,4,190
74	777,1121
76	1026
77	4,190
82	1090,1195
89	649
90	598,1342
92	5
94	5
95	4,190
97	1096,956
101	969,965
107	1475,1516,711
109	507,507
113	53,54
114	94
115	183,293,293
116	1311
117	4,190,53,54
121	63,4,190
125	4,190
129	53,54
131	8
132	926
135	221
137	524,524
138	503,503,914,36
142	53,54
146	1373,1189
147	673
151	514
154	516
156	381,381
158	221
159	865,884,1499
160	59
166	4,190
169	7,587,7,587,599
172	1214
178	510,510
179	57,580,785,827,861,928,951,991
180	4,190
181	598,1342,134
182	1311
183	7,587
196	1054
202	41
203	300,300
204	653
205	1004
206	4,4,190,190,221
207	8
208	779,1267,1446
213	524,53,54
215	1159
218	8
219	213
221	503,503,914
223	189,422,422,8,211
224	398,398,1268,195,680,1311
225	8,1195
229	624,837,471,471,605,985,656
231	1082
232	9
234	1003
235	1062,1300,203
237	1188,1168,748,1260,1417,1416,1068
239	834,1320,1038,32
241	788,1119
244	337,337,1256,1387,693,101
246	157,1068,1195
247	582,1529,912,1068,9
248	1247
249	1206,958,751,1065,1386,1382,931
250	1527,1530
251	340,340,337,337,895,1461,1482,435,435,1524,1020
252	1194,1326,1228,1420
253	1273,672,1124
254	788,1316,1135
255	584,1535,1081,826
256	780,819,833
257	929,9,1195,1124
258	812,1526,931,651
259	1543,962,1095,9
260	290,290,1197,229,1485
261	791,895,1100,728
262	1530,1393
263	775,523,1075,1148,106,1183
264	39,1015,1133,1320,1074,9
