uid	iids
1	1138,1294,189,684
2	521,688,469,1,1040
3	1,1040,1,1027,1
4	1,1040,63,236,615
5	495,495,1,215,1
6	361,361,1,753
7	1,1,1,1027,1040
8	179,416,416,1,58
9	1,1027
10	1,1,1,1027,1040
11	655,1,1,1040
12	1,1040,1
13	910,1158,1105,1331
14	1,131,987,1082,1258,986,1391,960,1448,1284,1464,264,1410,1426,1473
15	922,740,549,764,489,489,871,479,479
16	938,1014,1014,531
17	2,47,402
18	164,1160,874,1259,620,1024,1099
19	2,697,782,34,551,551,551,1053,562
20	2,782,858,93,567,644,700,638
21	2,255,929,1152,1188,1146,1148,355,355
22	3,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
23	3,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
24	3,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
25	3,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
26	3,202,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
27	3,202,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
28	257,590,941,1245,3
29	489,489,3,278
30	3,3,278,278,1219
31	3,278,278
32	770,3,79,202,208
33	212,1211,3,213,1159,793,1021,1493,1539,787,993,91
34	205,820,910,1174,523,3,1080,358,358,1079,1369,1431,1395,618,1528,1543,584,1544,1462,157,1541,1090,1535
35	1066,3,1427,1517
36	23,3,202,1116,3,879,695,1381,672
37	89
38	1153,3,1210,129,1388
39	1087,1320,1352,1402,1401,693,945,757,854,1254,203,1358,229,1419,1060,247,1074,1504,1491,32,1446,1409,1304,1410,582,583,651,1195,1547
40	143,975,946,929,1160,3,1201,1081,668,1382,1512,1356
41	103,1100,1009,733,1154,539,1232,3,1166,1331,756,120,1225,1234,693,1226,1392,906,1459,1461,1395,1479,1463,1509,1372,1482
42	3,278,278,3,278
43	3,202,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
45	769,3,278,278,571
46	3,37,37,202,581
47	3,202,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
48	3,202,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
49	78,3,202,566,566
50	3,202,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
51	4,6,7,190,587
52	220,57,580,785,827,861,928,951,991
53	94,4,190
54	4,190,534,751
55	517,877,4,190
56	653,653,4,190,514
57	418,418,1109
58	328,328,4,7,190
59	1449,4,190,510
61	502,502,7
62	8,524,4,190
63	837,514
64	26,52,181,320
66	155,707,1164,4,190
67	5,7,587,5,187
68	5,7,587,7,587
69	1001,4,190,7,587
71	75,57,580,733,1144,693,754,1247,1484,1437,7
72	422,422
73	221,534,4,190,6
74	221,4,190
75	7,587,5,4,190,53
76	119,1117,12,1364
77	7,398,398
78	5,5,5,4,4,4,190
79	507,507,8,1041,53,54
80	7,587,4,190,619
81	221,221,5,1223,4
82	266,1354,4
83	938,651,712,1014,524,6,1124,5
84	4,190,355,355,524
85	5,5,5,8,75
86	5,4,4,190,190
87	699,746,653,699,746,5
88	53,54,4,190
89	905,770,53,54
90	710,5,94
91	5,53,54,4,190
92	521,5,4,190
93	466
94	4,4,190,190
95	5,4,190
96	5,5,4,4,190
97	422,422,1508,1086,410,410,422,422,1508,702,813,189,825,825,483,483,292,292,442,482,494,442,482,494,604,612,1127,1178,1184,605,610,727,759,806,768,760,806,768,609,1186,603,939,605,7,587,5,5,703,702,898,1051,1192,955,451,451,1142,813
98	53,54,53,54,5
99	184,384,384,1315,5
100	5,4,4,190,190
101	524,524,5
102	8,5,5,5,4,190
103	712,5,5,5,5
104	5,5,7,221,587,646
105	5
106	599,189,53,54,53,54,5,422,422
107	273,273,83,23,221,1019,1528,9,651,1068,4,190,1538,75
108	387,387,377,4,190
109	8,4,190
110	4,190,7,514,587
111	4,190,489,489
113	4,190,194
114	187,7,587,6
115	169,437
116	4,190,524,1311,422,422
117	1109
118	4,190,7,75,587
119	4,7,190,587,53
120	8,619,4,190,459
121	70,27
122	4,190,627,1123,153,154
124	4,189,190,220,619
125	48,416,416
126	566,149,4,190,8
127	221,579,221,4,190
128	9,398,398,4,190
129	1293,675,4
130	596,4,190,53,54
131	4,190,53,54
132	179,779,4,190
133	221,53,54,4,190
134	4,4,190,190,75
135	699,746,653,965,653,653,653,4,190
136	53,54,524,4,190
137	524,4,4
138	4
139	4,4,4,190,190
140	4,4,4,190,190
141	94,4,4,4,4,4,4,190,190,190,190,190,190
142	4,94,190
143	7,47,402,402,587
144	221,524,4,7,190
145	422,422,1508,4,4
146	680,1499,341
147	4,4,190,190
148	4,4,4,190,190
149	546,4,190,7,587
150	181,619,68,4,190
151	4,190,4,190
152	89,7,8,514,524
153	8,75,7,189,514
154	4,4,190,190
155	213,7,53,54,587
156	386,386
157	55,194,195,653,653,653
158	4,190,1357,964,158
159	4,190
160	565,566,4,190
161	661,53,54,7,587
162	719,4,4,190,190
163	4,190,422,422,1508
164	4,7,7,7,190,587,587
165	4,7,190,524,587
166	4,190,360
167	57,580,785,827,861,928,951,991
168	221,643,221,7
170	1336,300,300,1255,653,699,746,699,746,965,4
171	93,93,635,640,533,782,53,54
172	4,190,924,736
173	599,7,587,1023,84
174	4,190,4,190,4
175	4,190,908,53
177	7,57,580,587,785,827,861,928
178	217,7,587
180	221,507,507
181	73,75
182	7,7,587,587
183	1041,1355,53
184	653,661,7,587,978,699,746
185	7,7,587,587,965
186	699,746
187	4,4,4,190,190
188	184,8,75,510,510
189	794,4,190,320,320
190	7,587,21,24,1001
191	657,824,1500,487,487,689,4
192	53,54,635,4,190
193	4,4,190,190,489
194	4,190,422,422,1508
195	834,1183,8,773,1124
196	7,587,103,744,120
197	4,4,190,190,524
198	4,4,190,190,524
199	4,190,320,320,954
200	8,75,75,221,221
201	4,4,4,190,190
203	61,4,190
204	653,965,221,4,190
205	593,422,422,422,422,1508,422,422,8,57,580,785,827,861,928
207	221,53,54,1355
208	75,554,188,8,805,770,228,639,189,229,1533,1129,918,1069,1074,796,756,1231,1444,1024,499,499,158,893,264,499,499,1010,1516,1093,854,876,1413,589
209	581,4,4,190,190
210	4,4,190,190,619
211	4,57,190,580,785,827,861,928
212	57,580,785,827,861,928,951,991
213	4,190
214	4,190,503,503,914
215	8,163,566,566
216	220,4,190,4,190
217	138,4,4,190,190
218	699,746,55,75
219	8,220,53,54
220	4,190,524,524,922
221	4,190
222	619,8,8,221,221
223	221,57,580,785,827,861,928,951,991,249
224	4,190,158,893
225	104,355,355
226	8,8,422,422
227	4,4,4,75,190,190
228	8,57,57,580,580,785,785,827,827,861,861,928,928,951,951,991
229	308,308,1007,837,258,1012,554,705,809,595,366,95,466
230	345,345,1290,844,1057,1271,1472,1530,1495,1473,1044,1124
231	987,32,687,1381,1576,266,1548,1440,476,476,9,1124,1195,651,1529
232	25,1124,651,1433
233	9,41,383,383,1441
234	1082,987,817,798,1548,1520,1068
235	781,1147,1173,1146,97,1298,1044,932,1074,1472,9
236	816,9,81,489,489
237	288,288,1134,805,1302
238	77,1267,1285,1201,1191,41,9
239	1154
241	246,765,83,1273,1330,1419,1259,1372,1530,1237,1124,9,152
242	1031,1016,1174,1239,982,83,1226,1332,1576,1271,1417,1019,476,476,1383,1042,9
243	649,1090,651,1124,9
244	1150,111,1338
245	767,523,647,1201,227,1449,582
246	812,513,1217,1265,1448,1451,1019,490,490,1522,1195,1124,1068,41,263,9
247	942,1124,1010
248	808,1098,872,523,1274,1431,1159,1090
249	816,816,833,1103,946,1171,964,553,1204,145,610,1058,1087,932,1252,950,868,864,1254,1286,513,1460,1461,1456,905,884,1447,618,1364,53,53,54,54,1129,1486,1485,1509,918,1377,1463,1549,1371,643,1499,953,1018,435,435,865,1524,1437,1515,1181,1182,1415,620,821,1356,1042,32,1541,598,1195,1089,9,9,1068,1124,1181,1493,266,1061,1444,1360,1494,1534
250	750,1284,1495,1068,1068,9,1096,1200,660,931
251	770,791,820,25,833,1015,1028,647,1431,1395,1502,1056,1364,1057,1069,1372,443,443,1042,9,1124
252	778,345,345,1108,1253,960,1489,1159,1510,9,9,559,1195,1068,1005,359
253	791,801,1403,1521,1022,1063,1435,1478
254	617,819,139,836,1253,854,1197,1247,1570,1448,886,9,41,1126,173
255	77,1227,23,229,1248,747,688,1032,1191,983,1228,1271,1458,1438,1417,1543,1544,1486,1371,1372,1504,660,32,952,931,1304,268,41,1124,1124,1124,1203
256	62,862,849,849,1288,1241
257	1052,39,1082,941,1358,1228,1056,1230,1444,1182,772,1494,1304,1181,922,1068,9,1493,792,615,253,1360,1467,887
258	1265,682,971,1489,1241,1276,1483,1439,1180,443,443,1097,1202,9,9,41,383,383
259	1182,821,1444,264,931,9,9,1195,9,1068
260	681,1461,1113,1417,465,465,1182,1181,582,1163,9,1493,1195,9,1044
262	1494,9,1538,586,358,358,1454,1362
263	833,1015,1509,1407,1415,1337,1119,1237,1200,1068,9,1124,1195,1537,1543
264	778,990,940,1104,288,288,560,289,289,165,1076,1507,918,1124,1441,41,1068,1202,1195
265	1226,203,1254,1134,828,1400,1281,1459,1427,1222,1447,1509,1463,1180,1428,1137,1356,391,391,1124,9,651,1538
266	185,1195,9,1068,40,1465
267	1108,1017,1206,945,986,1389,1368,1191,1461,1259,1423
268	1212,1211,660,1522,1054,614,651,1124,9,1068,1195,1005,41
269	975,1043,1103,1174,894,1128,1092,539,1149,1157,1298,693,1226,913,1358,203,1419,1048,1371,753,1526,1325,1524,1504,1523,1181,1021,1195,1195,1195,1195,1196,1124,1124,1068,1068,1068,1068,651,9,1044
270	340,340,1227,1235,1264,913,358,358,1308,1036,798
271	1212
272	1074,1526,1061,1494,598,1342,263,9,1068,1493,1405,1393
273	1158,1105,1283,1275,1533,584,1439,32,1022,207,772,1097,582,1199,1510,9,1124,359
274	778,270,602,103,1028,834,729,1158,1206,1116,1273,1258,229,1275,266,618,1544,1181,1163,9,651,1068,1124,1199
275	1271,1512,1061,9,1068
276	990,940,1104,920,1343,1285,1254,203,1330,1458,1460,1459,1449,1456,1479,1549,842,1521,1119,1550,1068
277	1226,851,1504
278	1388,1044,1286,1328,983,1180,1341,9
279	1153,1217,1128,1173,1387,693,1226,841,1254,203,1067,1425,1056,1074,465,465,1521,1021,1494,1089,614,840,1068,9,1124,1195,1354,1124,41,651
280	651,728,1150,648,518,831,941,1245,229,266,1191,1577,793,1159,1056,1129,1057,584,435,435,796,1224,886,1244,101,41,1068,1195,1202,9,1124,383,383,543,357,615
281	1329,853,672
282	103,1274,229,1460,1549,1371,476,476,510,510,1196,651,1195,9,1044
283	383,383,1538
284	48,1206,1140,1256,1296,1351,1370,1387,1094,682,681,1275,32,1201,1164,682,687,1007,1411,747,1036,1191,1461,1438,1449,1480,1543,584,1543,1544,1481,1482,1277,1517,1181,1061,891,952,660,1446,1023,1495,1024,1488,1054,669,582,931,1341,1304,268,1510,229,1443,9,9,1068,9,1551,358,358
285	849,1052,895,1328,1180,1020,41,1195,1441,1195,1354,651,525
286	1124,9,9,1068,1068,651
287	18,812,690,302,302,832,974,1292,1198,687,1271,465,1120,1510
288	1461,1442,931
289	1410,9,9,9
290	1521,1512,1042,1435,268,1119,1021,651,1195,9,1124,9,1195,1039,876
291	270,820,25,340,340,1098,103,1149,1338,1534,651,41,41,9
292	1100,1160,1064,1206,106,1570,817,983,1502,1533,1364,1544,1486,1524,1520,1042,1514,911,1495,207,1195,9,9,9,630
293	1154,1140,1075,1157,120,1078,1125,566,1456,1361,1222,1137,1488,1163,1097,41,1068
294	1402,1381,9
295	255,602,1062,1173,693,913,203,1254,229,1044,1007,1048,1533,1129,1479,476,476,1504,1543,620,1503,582,669,1195,1124,9
296	71,836,1301,435,435,1099,931,961,1436,1097,1195,1024,1068,9,1068,1124,1195,1200,651,1473,1093
297	560,1284,1022,772,264,9,1068,9,1068,1068,1539,396
298	556,229,9,9,651,651,1124,1195,1359
299	1518,268,9,1195,9,1195,9,9
300	1092,233,780,839,1389,693,1081,1442,1097,1409,266,1068,651,1181,1360
301	9,1068,9,1068,1124,1195,9,1465,1393,586
302	788,855,958,1161,897,1299,556,757,203,1254,1080,32,804,1431,1425,821
303	1474,9,651
304	61,756,1260,1074,1382,1020,846,1022,1068,1068,9,9,1443,559
305	539,844,1395,1525,1230,1356,1488,1409,583,1054,651,1068,651,9,1068,1199,559,1241,543,359,359
307	774,1025,873,1230,1407,1520,1444,1096,9
308	846,1194,1297,120,1274,1021,1119,207,1195,9,9,555
309	812,777,1252,1285,1190,1271,1425,1057,1406,1415,1118,772,1535,41,1537,1010
310	989,77,1100,934,97,1264,1258,1037,1228,1509,1543,1512,122,1410,1345,41,1441,1068,1068,9,9,1195,1195,1195
311	990,1263,1258,1195,1068
312	337,337,302,302,1206,1133,651,949,1068
313	849,1100,733,934,165,1025,1390,1191,1246,1447,1549,1523,1526,1382,1504
314	1529,268,41,9,651,1124,9,9
315	780,1100,1028,1316,1246,886,952,846,397,397,949,1124,9,1068,9
316	836,146,1389,1386,1502,962,582,9,9,651
317	894,1166,120,1438,651,9,9,1068,1068
318	1215,1265,932,1356,9
319	1227,1266,1285,651,651
320	864,693,1054,1226,32,750,1488,1495,1443,1237,1550,9,651,9,1195
321	946,1158,1146,773,826,1448,1463,1524
322	729,1183,1164,1577,107,1527,1271,1494,9,1495,586,1453
323	931,1124,826,9,1068
324	1015,1458,268,9,9,1068,1195
325	942,686,1068,9,9
326	1511,1182,1024,390,390,669,614,268,9,1199,9
327	1265,1403,203,623,1353,1423,1523,1524,1534,912,9,9,651,9,1068
328	39,800,921,1456,1457,1487,1523,9,9,1200,152
329	1066,879,266,9
330	780,255,25,776,1082,836,1146,1273,921,748,1036,1077,1458,1047,1048,1533,1482,756,207,1510,614,1068,9
331	290,290,1370,1318,1007,225,277,277,1048,1533,1056,1549,266,1061,1042,1514,931,207,1304,1089,1534,1550
332	1103,1448,9,1068,1068
333	300,300,1086,510,510,198,255,820,340,340,990,940,1104,1147,1064,648,138,1145,905,897,290,290,1253,1234,1094,32,1038,681,1191,1457,798,1423,1129,1364,932,490,490,1462,1284,750,1182,891,620,660,1522,390,390,1120,669,1534,1089,598,1097,1535,268,582,1195,1195,1195,559,1543,1241,1162,528,930,1362,201
334	165,1076,1042,1195,9
335	791,767,940,1104,1152,748,1067,1475
336	950,1514,1494,264,931,1534,1535,1097,1529,1237,651,840,1068,1181,1195,1199,9,9,651
337	9,1349,1242,594,1359
338	1024,1494,660,949,1124,9,1068,41,586,976,525
339	910,1015,9,1124
340	1174,1147,1212,695,23,1400,1190,668,230,490,490,842,1383,229,1514,931,1021,1529,268,826,9,9,41,41,41,651,1068,1124,1124,1195,1195,1441,930,1581
341	899,1181,1530,846,911,931,1021,1096,598,1342,268,397,397,263,229,1124,826,9,1068,9,1195,383,383,9,9,9,1068,9,9,1044,1241,359,359,358,358,711,357,357,1242,787,266,1506
342	338,338,546,232,337,337,987,1082,549,1031,1256,554,1300,1301,1292,1326,757,1390,1030,1285,1254,110,230,1029,32,1134,1190,31,1060,226,1461,1421,1386,1450,1489,1361,1074,1137,842,1543,1542,1182,1181,669,1124,1195,1195,9,1465,1546,396
343	690,1146,828,921,1421,620,931,1203,9,9,9,9,1068,41,651
344	931,9,9,1068,1195,9,9
345	874,1502,1382,1337,1435
346	929,1150,854,1164,1386,750,1512,1503,1063,931,840,9,383,383,1547,1039,930
347	1155,1145,1252,1197,1275,1007,1076,1228,1049,1447,1069,1504,1541,1522,821,961,1436,614,1068,1068,1493,1537,1039,201
348	690,910,946,1187,1204,773,1094,1021,1488,1020,1023,1021,1024,1163,1022,390,390,1495,1095,1119,1021,1120,1237
349	1355,750,1543,1522,1495,1494,1120,1426,1435,229,9,41,651,1068,1068,1195
350	1052,345,345,729,1157,982,1207,1011,1248,1164,229,1431,1363,1395,1386,1543,1543,1543,32,1063,266,1124,1203,9,41,1465,1135,1418
351	617,690,830,1137,842,9,1126
352	518,1267,756,1226,1013,1247,1266,1246,101,9
353	45,1077,1048,1119
354	937,1256,9,902,1068,1068,1068,1124,9
355	1098,1017,1157,1164,747,1047,1533,1528,1544,1543,1482,750,1543,266,1284,1444,1023,229,1195,1441,949,1068,383,383,9,9
356	895,1234,1281,1411,9
357	142,412,412,181,62,744,186,324,324,62,186,753,195,856,573,516,812,643,38,67,156,895,1009,728,1147,894,976,83,1235,1312,1313,1299,120,757,358,358,1274,1201,1275,817,970,266,748,232,1458,1278,1159,1241,1361,1364,1129,1481,1069,1480,1483,1479,1486,918,1549,1372,660,891,32,952,821,1356,931,846,1244,1532,1535,9,9,651,1124,1181,1510,1546,1350,1547,396,396,1269,1238
358	1064,1264,1201,828,1419,1471,1423,1528,931
359	554,523,598,846,946,733,987,1082,729,1155,513,1187,854,1399,682,1048,1507,1484,1371,1372,1549,465,465,490,490,157,891,32,911,40,263,630,942,1478,41,1124,9,1405,1433,1269,1478,586,711
360	1035,1275,1543,266,1271,1542,390,390,660,1195
361	177,1035,1382
362	334,334,879,1577,1527,583,1195,1195,9,651,9,9,1068,1068
363	71,834,1147,1146,1411,1228,1463,669,1195,9,9,9,1195,651,1068,1124,1202,1441
364	1226,1254,1228,1363,1495,1367,1124,9,9,9,9,1068,1195,1203,383,383
365	1108,941,1245,841,981,1007,1069,1528,1372,1284,651,840,9,1124,1405,1546,876
366	72,1052,1075,1225,1210,120,681,1361,1129,1195
367	1182,1488,1068,9,1195
368	733,854,1054,682,798,1487,490,490,756,1543,1181,1519,902,1195,651,1195,1124,1068,396
369	1021,1495,772,826,651,1195,1203,9,1068,1068
370	149,199,744,1009,1256,1288,1209,1054,748,1361,1543,1511,207,598,1342,9,1195
371	71,894,9,1378,1126
372	1515,1474,9,266
373	778,1103,1017,934,1375,913,1399,921,1457,1159,618,932,1371,1548,435,435,490,490,443,443,1430,1524,620,1472,390,390,1494,1054,614,669,40,263,1068,41,201
374	1151,1225,765,773,1275,906,1228,1457,1458,1386,1019,1484,1528,476,476,1521,891,207,660,41,1068
375	290,290,539,529,229,952,582,9,1039,662,355
376	866,1160,1204,1206,1151,1211,1210,682,983,1431,1364,1528,1426,1244,9,9,1124,826
377	1016,1003,1147,1151,1209,831,665,1248,1471,1451,1113,1543,1544
378	1265,754,229,773,1332,1578,805,247,1241,1476,753,185
379	987,1082,941,1245,1248,1328,566,1450,1159,1372,1371,1522,9,651,1124,1195
380	849,32,921
381	1194,185
382	833,732,1286,32,1548,1250,911,660,268,651,9,357
383	226,178,1258,1134,1094,841,681,687,748,668,222,1060,1191,1228,798,1431,1386,1502,1526,1504,756,750,1543,229,1512,1520,1515,1444,1284,660,185,32,582,772,931,891,1514,268,391,1414,1405,896
384	288,288,879,83,1402,1228
385	1519,1095,1529,9,1124
386	1201,796,753,266,1542,886,1550,1529,1068
387	974,1021,931,660,1096,1408,1195,9,1200,1124,615
388	1160,1212,1263,129,1318,1271,1120,582,264,391,391,9,9
389	340,340,1301,1400,1368,921,1325,1446,772,1090,961,1436,582,9,1195,9,1068,651,1473,930
390	648,1151,1146,1374,1472,660,902,1118,1020,669,9,1195,9,651
391	1195,1393,1470,357
392	255,1351,1459,1457,1533,1504,1521,1494,598,1342
393	910,920,1264,941,1245,628,1080,1013,1395,1159,753,1271,1042,1550,9,1124,1195,826,1238,358
394	523,1264,983,1428,1488,1529,651,9,1398,1418
395	1150,890,1151,23,844,1459,1395,1417,1522,9,1195,1068
396	560,857,355,355,1197,1044,921,1177,1137,886,1515,846,1532,1535,1124,9,651,1195,41,158,1432,701,711,930
397	1063,669,9,912,826,875
398	1224,1234,1007,1037,435,435,1356,1573,1495,669,397
399	1215,518,1078,682,851,804,1271,1457,1363,983,1422,1129,796,842,952,582,1426,1096,1338,9,651,1068,1195,1454
400	660,931,9,383,383
401	264,931,961,1436,1244,391,391,9,1478,1465,1054,896,1469
402	9,41,941,882,930
403	39,289,289,1256,762,892,1007,1449,476,476,891,9,1195,1269,1270,993,589,253
404	834,894,1210,9,1068,1195,1203,651,41
